City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,coquimbo,-29.9533,-71.3436,16.85,67,0,6.17,CL,1695506196
1,minervino murge,41.0843,16.0784,18.07,82,55,2.11,IT,1695506196
2,margaret river,-33.95,115.0667,9.14,81,4,2.6,AU,1695506197
3,isafjordur,66.0755,-23.124,3.68,91,98,7.2,IS,1695506197
4,basco,20.4487,121.9702,28.68,77,16,7.7,PH,1695506197
5,bilibino,68.0546,166.4372,2.16,85,100,1.65,RU,1695506198
6,longyearbyen,78.2186,15.6401,-6.09,79,40,1.54,SJ,1695506198
7,lompoc,34.6391,-120.4579,27.61,69,0,6.71,US,1695506198
8,ushuaia,-54.8,-68.3,3.81,87,100,13.38,AR,1695506198
9,port-aux-francais,-49.35,70.2167,1.73,81,70,20.86,TF,1695506199
10,lewistown,40.5992,-77.5714,15.08,100,100,5.4,US,1695506199
11,enewetak,11.3474,162.3373,28.6,78,100,7.47,MH,1695506199
12,anadyr,64.75,177.4833,4.28,100,75,3.0,RU,1695506199
13,haiku-pauwela,20.9219,-156.3051,29.01,64,20,8.75,US,1695506200
14,blackmans bay,-43.0167,147.3167,8.62,92,16,2.68,AU,1695506200
15,shingu,33.7333,135.9833,21.04,74,100,3.57,JP,1695506201
16,kuta,-8.7233,115.1723,23.97,100,20,0.51,ID,1695506201
17,itambe,-15.245,-40.6244,22.57,63,6,2.08,BR,1695506050
18,hermanus,-34.4187,19.2345,11.0,82,100,8.23,ZA,1695506201
19,grytviken,-54.2811,-36.5092,-3.59,83,70,3.69,GS,1695506202
20,qaqortoq,60.7167,-46.0333,3.91,62,99,3.28,GL,1695506202
21,gizo,-8.103,156.8419,26.63,83,100,5.61,SB,1695506203
22,hithadhoo,-0.6,73.0833,27.95,78,100,5.69,MV,1695506203
23,iskateley,67.6803,53.1512,13.59,88,88,7.83,RU,1695506203
24,barcelos,41.5388,-8.6151,18.29,82,14,1.26,PT,1695506203
25,atafu village,-8.5421,-172.5159,28.1,80,93,7.21,TK,1695506204
26,bardai,11.65,7.2333,22.24,87,68,4.03,NG,1695506204
27,albany,42.6001,-73.9662,15.23,84,100,0.45,US,1695506127
28,adamstown,-25.066,-130.1015,20.78,86,93,12.62,PN,1695506204
29,karaton,-6.3424,106.1045,21.49,89,50,0.71,ID,1695506205
30,new norfolk,-42.7826,147.0587,9.28,82,36,1.37,AU,1695506205
31,salekhard,66.53,66.6019,4.84,93,100,3.98,RU,1695506205
32,saipan,15.1355,145.701,28.39,89,20,0.0,MP,1695506206
33,sinabang,2.4803,96.3801,25.46,84,98,3.19,ID,1695506206
34,vila nova da telha,41.0717,-8.6415,18.26,80,0,1.03,PT,1695506206
35,wafangdian,39.6183,122.0081,14.04,89,31,2.43,CN,1695506206
36,yellowknife,62.456,-114.3525,10.29,87,100,5.14,CA,1695506206
37,chitipa,-9.7024,33.2697,18.46,56,0,2.05,MW,1695506207
38,malango,-2.9627,119.9001,16.72,83,91,1.14,ID,1695506207
